policy,trial,trial_success,keyframe,phase_success,duration_s,root_position_m,root_xy_m,root_orientation_rad,joint_mae_rad,joint_rmse_rad,joint_max_rad,object_position_m,object_orientation_rad,mean_body_position_m
model_29000_uniform.onnx,8,False,stand_after_pick_box,False,17.836900000004924,1.452144742012024,1.3603004217147827,0.8533239237511544,0.27918726205825806,0.32582923769950867,0.7071695923805237,0.7923201824117672,0.2501265211787241,1.342788815498352
model_29000_uniform.onnx,9,True,approach_box,True,4.817630000000355,0.1178431287407875,0.11641711741685867,0.07612467241202912,0.08223860710859299,0.10332155972719193,0.2513185143470764,,,0.13338078558444977
model_29000_uniform.onnx,9,True,stand_before_pick_box,True,1.0002000000001843,0.10948262363672256,0.10857026278972626,0.15489528446798015,0.07812512665987015,0.1043393611907959,0.2646603286266327,0.038673803210258484,0.0,0.10929808765649796
model_29000_uniform.onnx,9,True,crouch_to_pick_box,True,7.734879999997402,0.11476369947195053,0.1140228658914566,0.05104779933656928,0.10403701663017273,0.14010672271251678,0.35175395011901855,0.04222030865821194,0.0017791373572922057,0.11079031974077225
model_29000_uniform.onnx,9,True,stand_after_pick_box,True,2.0504100000009924,0.1116044670343399,0.1105123981833458,0.031081361231731983,0.07963058352470398,0.10780797153711319,0.3649519681930542,0.07846224097671939,0.7139137729296423,0.1272566020488739
model_29000_uniform.onnx,9,True,stand_before_place_box,True,3.7507500000026894,0.21237236261367798,0.21195955574512482,0.14902265453565625,0.07707657665014267,0.10027157515287399,0.28630542755126953,0.18597776126546908,0.8019704556602902,0.23456105589866638
model_29000_uniform.onnx,9,True,crouch_to_place_box,True,1.9337200000013866,0.19001272320747375,0.1894826740026474,0.058087455164176946,0.10210952907800674,0.13598234951496124,0.36463668942451477,0.10366352001482024,0.16486881342507462,0.17824411392211914
model_29000_uniform.onnx,9,True,stand_after_place_box,True,1.7336800000012431,0.06498179584741592,0.0628385841846466,0.1042846118196719,0.07061093300580978,0.09589498490095139,0.24903255701065063,0.10284404611710082,0.16480976555266538,0.0816667303442955
model_29000_uniform.onnx,10,True,approach_box,True,4.800960000000352,0.13686658442020416,0.1364741176366806,0.07101671043527852,0.08352173864841461,0.10535410791635513,0.295897901058197,,,0.1478428989648819
model_29000_uniform.onnx,10,True,stand_before_pick_box,True,1.0002000000001843,0.10393162816762924,0.10309948027133942,0.10376249736381175,0.07882459461688995,0.10551547259092331,0.2680022418498993,0.038673803210258484,0.0,0.1014695018529892
model_29000_uniform.onnx,10,True,crouch_to_pick_box,True,4.084149999998683,0.12360478192567825,0.12347546964883804,0.04616711312615102,0.09868212044239044,0.13420259952545166,0.35225412249565125,0.040952590597698825,0.0014612472698597475,0.11872296780347824
model_29000_uniform.onnx,10,True,stand_after_pick_box,True,2.033739999999291,0.11712928116321564,0.1162472739815712,0.02380954340917882,0.07818956673145294,0.1064734011888504,0.3694082498550415,0.06701878580785522,0.7308936376374411,0.13253623247146606
model_29000_uniform.onnx,10,True,stand_before_place_box,True,4.5509100000010445,0.220416858792305,0.22001032531261444,0.1470415802266627,0.07705278694629669,0.10159315168857574,0.3040598928928375,0.1789621963244065,0.8105934797824778,0.24282629787921906
model_29000_uniform.onnx,10,True,crouch_to_place_box,True,1.9170500000013746,0.19253277778625488,0.19205662608146667,0.061644473337213616,0.10197196155786514,0.1367427408695221,0.36537301540374756,0.10463329491187467,0.18318194230703058,0.1805209070444107
model_29000_uniform.onnx,10,True,stand_after_place_box,True,1.6670000000011953,0.0340266227722168,0.029140887781977654,0.14941694351617538,0.07222537696361542,0.09437894076108932,0.2314392775297165,0.10345018916478456,0.18131857910972285,0.059378478676080704
